PO ZB327 - Remaining to procure from publishers (3265 ISBNs),,,,,,,,,,,,,,,,,,,,,,,
Not available/profitable on Amazon. Publisher names recovered from Amazon scrape & merged across variants. Sorted biggest publisher first.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,ISBN,Title,PO Price (USD),REMARKS,,,,,,,,Merged Publisher,,,,,,,,,,,Group #books
402,9783382176563,In Relation to Occurrences at Magdalena Bay,$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
403,9783382176549,Instructions to Agents and Rate Book,$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
404,9783382176501,Intermembral Homologies,$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
411,9783382504069,"London Committee of Deputies of the British News: Translations of a Letter addressed by Sir Moses Montefiore, Bart., F.R.S.",$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
419,9783382133467,Real Life,$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
428,9783382189549,Sussex County Lunatic Asylum Haywards Heath,$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
446,9783382151669,Tower Foundations of the East River Suspension Bridge,$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
646,9783368059873,Don Manuel Ruiz Zorrilla. Ante la A. R. M.: Noticias sobre la formación y desarrollo de la misma. Historia de la conspiración militar que produjo la ... interesantes al ejército. (Spanish Edition),$46.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
658,9783368810085,New York Directory 1786,$46.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
661,9783368813888,Report upon the Determination of the Astronomical Co-ordinates,$46.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
1459,9783368272906,Drei Abhandlungen zur Sexualtheorie (German Edition),$46.00,,,,,,,,,Antigonos Verlag,,,,,,,,,,,6
3054,9783701105380,"Spione im frühen Kalten Krieg: Einblick in ihre Motive, Methoden und Netzwerke",$46.00,,,,,,,,,(unknown),,,,,,,,,,,
3124,9781847203007,The Dynamics of Public Policy Theory and Evidence,$46.00,,,,,,,,,(unknown),,,,,,,,,,,
2597,9783700323167,Compliance und Transparenz - Korruptionsprävention als Mehr-Ebenen-Aufgabe,$44.00,,,,,,,,,(unknown),,,,,,,,,,,
2805,9781403995568,"Labour Market Trends Volume 113, No 11, November 2005",$43.20,,,,,,,,,(unknown),,,,,,,,,,,
1669,9781904315377,Snappy Ideas: Pastoral Care and Tutor Group Ideas (Lucky Duck Books),$42.56,,,,,,,,,SAGE Publications Inc,,,,,,,,,,,3
1802,9781626186576,"""Anastomoses: Types, Techniques / Procedures, Clinical Outcomes and Complications (Surgery - Procedures, Complications, and Results)""",$41.76,,https://www.amazon.com/dp/162618657X?lv=shuf&channelId=500&plpRedirect=mhFallback,,,,,,,Nova Science Pub Inc,,,,,,,,,,,2
1803,9781616686895,Neuroticism: The Personality Risk Factor for Stress and Impaired Health and Well-Being (Psychology Research Progress),$41.76,,,,,,,,,Nova Science Pub Inc,,,,,,,,,,,2
2125,9798891214026,Stationed In Montana,$41.00,,,,,,,,,Jacque Walawander,,,,,,,,,,,1
2523,9783472099062,Aushangpflichtige Arbeitsschutzgesetze,$41.00,,,,,,,,,(unknown),,,,,,,,,,,
1751,9781637101179,Unintended Consequences,$40.44,,https://www.iberlibro.com/Unintended-Consequences-Burnell-Scott-Fulton-Books/32016596975/bd,,,,,,,Fulton Books,,,,,,,,,,,2
2076,9789914743630,PAUL MBOYA: A PORTRAIT OF A GREAT LEADER,$40.44,,https://www.amazon.com/dp/9914743633?lv=shuf&channelId=500&plpRedirect=mhFallback,,,,,,,Gapman Publications Limited,,,,,,,,,,,1
2546,9798275902907,"Blazor Web App Development with .NET 10 and C# 14: A project-based guide to building interactive, full-stack web UIs and components without writing a line of JavaScript.",$40.44,,,,,,,,,(unknown),,,,,,,,,,,
